left read, left timestamp, right read, right timestamp
331,-22116,221,-22100
177,-22072,62,-22052
71,-22028,0,-22008
185,-21984,516,-21964
676,-21940,676,-21920
678,-21896,678,-21876
542,-21852,527,-21832
260,-21808,327,-21788
107,-21764,415,-21744
440,-21720,462,-21700
634,-21676,432,-21656
444,-21632,451,-21612
216,-21588,240,-21568
70,-21544,15,-21524
111,-21496,59,-21480
448,-21452,423,-21436
608,-21408,607,-21392
543,-21364,639,-21348
468,-21320,529,-21304
334,-21276,423,-21260
343,-21232,636,-21216
617,-21188,677,-21172
678,-21144,677,-21128
560,-21100,612,-21084
230,-21056,342,-21040
222,-21012,316,-20996
583,-20968,497,-20952
646,-20924,434,-20908
377,-20880,250,-20864
5,-20836,0,-20820
92,-20792,0,-20776
249,-20748,255,-20732
0,-20704,0,-20688
0,-20660,0,-20644
359,-20616,395,-20600
678,-20572,643,-20556
201,-20528,678,-20512
678,-20484,676,-20460
677,-20436,676,-20416
678,-20392,678,-20372
663,-20348,656,-20328
0,-20304,0,-20284
0,-20260,0,-20240
0,-20216,0,-20196
0,-20172,0,-20152
0,-20128,0,-20108
0,-20084,0,-20064
678,-20040,679,-20020
677,-19996,677,-19976
481,-19952,0,-19932
0,-19908,0,-19888
0,-19864,0,-19844
0,-19820,668,-19800
676,-19776,678,-19756
678,-19732,676,-19712
677,-19688,678,-19668
0,-19644,0,-19624
0,-19600,0,-19580
0,-19556,0,-19536
0,-19512,0,-19492
310,-19468,30,-19448
673,-19424,5,-19404
632,-19380,0,-19360
593,-19336,0,-19316
644,-19292,569,-19272
677,-19248,678,-19228
679,-19204,676,-19184
676,-19160,677,-19140
623,-19116,676,-19096
0,-19072,496,-19052
0,-19028,0,-19008
0,-18984,0,-18964
82,-18940,0,-18920
0,-18896,0,-18876
0,-18852,0,-18832
0,-18808,0,-18788
0,-18764,0,-18744
364,-18720,632,-18700
677,-18676,678,-18656
678,-18632,676,-18612
678,-18588,678,-18568
678,-18544,676,-18524
470,-18500,678,-18480
211,-18456,676,-18436
643,-18404,678,-18388
678,-18360,678,-18344
675,-18316,622,-18300
639,-18272,0,-18256
142,-18228,0,-18212
0,-18184,0,-18168
0,-18140,263,-18124
207,-18096,676,-18080
430,-18052,676,-18036
