left read, left timestamp, right read, right timestamp
345,-2000,432,-1980
352,-1952,427,-1936
361,-1908,417,-1892
371,-1864,401,-1848
380,-1820,389,-1804
384,-1776,376,-1760
382,-1732,368,-1716
376,-1688,364,-1672
366,-1644,366,-1628
353,-1600,368,-1584
335,-1556,376,-1540
323,-1512,380,-1496
312,-1468,389,-1452
303,-1424,391,-1408
295,-1380,391,-1364
292,-1336,381,-1320
292,-1292,371,-1276
295,-1248,356,-1232
300,-1204,340,-1188
311,-1160,324,-1144
316,-1116,313,-1100
326,-1072,297,-1056
327,-1028,286,-1004
333,-980,280,-960
332,-936,277,-916
329,-892,281,-872
326,-848,284,-828
319,-804,295,-784
313,-760,304,-740
313,-716,316,-696
317,-672,323,-652
320,-628,332,-608
331,-584,334,-564
343,-540,335,-520
357,-496,332,-476
368,-452,329,-432
382,-408,323,-388
387,-364,323,-344
391,-320,322,-300
388,-276,329,-256
387,-232,339,-212
377,-188,354,-168
371,-144,368,-124
361,-100,384,-80
358,-56,398,-36
355,-12,411,8
359,32,416,52
361,76,417,96
370,120,412,140
375,164,404,184
381,208,396,228
382,252,385,272
377,296,376,316
369,340,368,360
361,384,365,404
351,428,363,448
339,472,366,492
329,516,368,536
322,560,369,580
318,604,367,624
316,648,364,668
316,692,355,712
318,736,350,756
319,780,337,800
321,824,327,844
324,868,316,888
326,912,308,932
327,956,299,976
326,1000,295,1020
327,1052,292,1068
324,1096,290,1112
323,1140,291,1156
319,1184,291,1200
318,1228,295,1244
316,1272,300,1288
316,1316,307,1332
317,1360,313,1376
317,1404,324,1420
323,1448,329,1464
327,1492,337,1508
335,1536,341,1552
340,1580,345,1596
344,1624,345,1640
344,1668,347,1684
342,1712,343,1728
336,1756,342,1772
332,1800,339,1816
324,1844,344,1860
324,1888,347,1904
322,1932,354,1948
323,1976,355,1992
323,2020,358,2036
327,2068,356,2088
330,2112,352,2132
332,2156,349,2176
331,2200,340,2220
328,2244,335,2264
327,2288,329,2308
319,2332,326,2352
315,2376,321,2396
310,2420,319,2440
307,2464,315,2484
304,2508,312,2528
306,2552,304,2572
308,2596,299,2616
313,2640,287,2660
316,2684,280,2704
323,2728,269,2748
323,2772,263,2792
327,2816,259,2836
327,2860,259,2880
328,2904,259,2924
327,2948,263,2968
327,2992,268,3012
323,3036,275,3056
323,3080,280,3100
319,3124,284,3144
321,3168,289,3188
319,3212,292,3232
323,3256,297,3276
327,3300,302,3320
340,3344,307,3364
352,3388,312,3408
368,3432,318,3452
389,3476,322,3496
406,3520,332,3540
415,3564,335,3584
418,3608,341,3628
412,3652,344,3672
396,3696,356,3716
380,3740,368,3760
358,3784,385,3804
337,3828,403,3848
321,3872,422,3892
316,3916,432,3936
316,3960,440,3980
327,4004,435,4024
340,4048,430,4068
355,4092,412,4116
365,4144,391,4160
369,4188,374,4204
364,4232,353,4248
355,4276,344,4292
343,4320,337,4336
327,4364,339,4380
311,4408,345,4424
295,4452,353,4468
286,4496,355,4512
280,4540,353,4556
280,4584,343,4600
281,4628,333,4644
287,4672,312,4688
289,4716,295,4732
295,4760,276,4776
297,4804,263,4820
308,4848,251,4864
313,4892,249,4908
321,4936,247,4952
321,4980,253,4996
323,5024,257,5040
319,5068,268,5084
321,5112,273,5128
319,5156,283,5172
321,5200,294,5216
320,5244,307,5260
327,5288,319,5304
332,5332,325,5348
344,5376,329,5392
359,5420,334,5436
379,5464,338,5480
391,5508,341,5524
399,5552,344,5568
399,5596,344,5612
391,5640,348,5656
380,5684,356,5700
369,5728,371,5744
356,5772,387,5788
344,5816,407,5832
338,5860,420,5876
337,5904,433,5920
345,5948,436,5964
356,5992,435,6008
371,6036,423,6052
379,6080,411,6096
385,6124,391,6140
385,6172,372,6192
381,6216,359,6236
372,6260,348,6280
363,6304,347,6324
347,6348,348,6368
335,6392,353,6412
326,6436,356,6456
322,6480,363,6500
323,6524,364,6544
