left read, left timestamp, right read, right timestamp
334,10248,432,10268
334,10292,428,10312
344,10336,406,10356
356,10380,380,10400
376,10424,352,10444
392,10468,329,10488
403,10512,312,10532
396,10556,307,10576
384,10600,307,10620
359,10644,318,10664
337,10688,326,10708
312,10732,331,10752
292,10776,327,10796
281,10820,321,10840
287,10864,312,10884
300,10908,304,10928
322,10952,300,10972
335,10996,305,11016
350,11040,316,11060
354,11084,332,11104
356,11128,348,11148
347,11172,359,11192
335,11216,367,11236
327,11260,363,11284
324,11312,352,11328
331,11356,329,11372
336,11400,310,11416
348,11444,290,11460
354,11488,278,11504
361,11532,268,11548
355,11576,270,11592
348,11620,275,11636
329,11664,283,11680
315,11708,287,11724
295,11752,292,11768
280,11796,297,11812
269,11840,313,11856
271,11884,333,11900
276,11928,352,11944
288,11972,368,11988
302,12016,377,12032
319,12060,388,12076
337,12104,388,12120
354,12148,387,12164
364,12192,376,12208
368,12236,372,12252
368,12280,368,12296
367,12324,367,12340
364,12368,364,12384
355,12412,371,12428
348,12456,380,12472
344,12500,391,12516
345,12544,390,12560
348,12588,383,12604
355,12632,366,12648
361,12676,353,12692
372,12720,337,12736
376,12764,324,12780
376,12808,311,12824
366,12852,307,12868
355,12896,305,12912
343,12940,307,12956
332,12984,307,13000
316,13028,308,13044
307,13072,305,13088
299,13116,305,13132
304,13160,305,13176
312,13204,307,13220
321,13248,312,13264
327,13292,319,13308
336,13340,331,13360
344,13384,335,13404
344,13428,344,13448
344,13472,344,13492
340,13516,347,13536
342,13560,344,13580
340,13604,344,13624
342,13648,339,13668
339,13692,337,13712
343,13736,332,13756
342,13780,327,13800
344,13824,316,13844
340,13868,304,13888
341,13912,292,13932
335,13956,280,13976
332,14000,270,14020
323,14044,265,14064
316,14088,264,14108
304,14132,271,14152
295,14176,295,14196
286,14220,331,14240
283,14264,366,14284
285,14308,387,14328
292,14360,399,14376
307,14404,396,14420
323,14448,387,14464
351,14492,374,14508
368,14536,359,14552
384,14580,350,14596
387,14624,350,14640
388,14668,355,14684
376,14712,368,14728
363,14756,390,14772
344,14800,414,14816
332,14844,428,14860
327,14888,424,14904
332,14932,408,14948
344,14976,382,14992
366,15020,361,15036
387,15064,337,15080
402,15108,319,15124
404,15152,302,15168
396,15196,299,15212
379,15240,300,15256
355,15284,310,15300
327,15328,315,15344
302,15372,323,15388
285,15416,323,15432
280,15460,324,15476
292,15504,319,15520
310,15548,319,15564
332,15592,321,15608
350,15636,329,15652
367,15680,335,15696
372,15724,347,15740
371,15768,353,15784
359,15812,359,15828
348,15856,360,15872
335,15900,359,15916
332,15944,356,15960
329,15988,354,16004
335,16032,347,16048
341,16076,337,16092
353,16120,323,16136
359,16164,308,16180
364,16208,297,16224
363,16252,287,16268
358,16296,280,16312
343,16340,273,16356
323,16388,273,16408
302,16432,273,16452
284,16476,290,16496
278,16520,316,16540
273,16564,352,16584
281,16608,382,16628
291,16652,399,16672
311,16696,403,16716
326,16740,398,16760
348,16784,387,16804
366,16828,374,16848
382,16872,364,16892
384,16916,358,16936
382,16960,359,16980
373,17004,367,17024
363,17048,383,17068
345,17092,403,17112
334,17136,427,17156
327,17180,436,17200
333,17224,432,17244
345,17268,412,17288
360,17312,385,17332
380,17356,359,17376
399,17400,337,17420
409,17444,315,17464
408,17488,304,17508
393,17532,300,17552
374,17576,309,17596
350,17620,316,17640
321,17664,327,17684
299,17708,329,17728
284,17752,334,17772
287,17796,329,17816
302,17840,327,17860
327,17884,321,17904
345,17928,323,17948
366,17972,327,17992
376,18016,341,18036
379,18060,352,18080
368,18104,364,18124
353,18148,371,18168
335,18192,375,18212
327,18236,371,18256
323,18280,358,18300
327,18324,339,18344
335,18368,316,18388
350,18412,294,18436
363,18464,271,18480
366,18508,263,18524
361,18552,258,18568
344,18596,265,18612
323,18640,272,18656
295,18684,281,18700
273,18728,287,18744
255,18772,303,18788
254,18816,322,18832
262,18860,344,18876
283,18904,359,18920
300,18948,370,18964
323,18992,380,19008
340,19036,385,19052
359,19080,387,19096
365,19124,384,19140
366,19168,380,19184
359,19212,382,19228
358,19256,384,19272
353,19300,380,19316
350,19344,379,19360
345,19388,377,19404
345,19432,384,19448
353,19480,391,19500
358,19524,396,19544
365,19568,390,19588
366,19612,380,19632
372,19656,364,19676
373,19700,347,19720
375,19744,327,19764
368,19788,312,19808
361,19832,300,19852
350,19876,292,19896
343,19920,291,19940
329,19964,295,19984
318,20008,300,20028
307,20052,305,20072
304,20096,310,20116
306,20140,312,20160
314,20184,316,20204
324,20228,319,20248
334,20272,326,20292
345,20316,329,20336
351,20360,338,20380
352,20404,342,20424
347,20448,348,20468
344,20492,348,20512
336,20536,347,20556
331,20580,340,20600
327,20624,337,20644
329,20668,327,20688
331,20712,323,20732
335,20756,312,20776
335,20800,303,20820
335,20844,287,20864
331,20888,278,20908
327,20932,268,20952
319,20976,265,20996
312,21020,263,21040
303,21064,260,21084
297,21108,261,21128
289,21152,275,21172
287,21196,307,21216
284,21240,344,21260
289,21284,377,21304
295,21328,396,21348
304,21372,404,21392
315,21416,402,21436
332,21460,396,21480
351,21512,377,21528
368,21556,364,21572
380,21600,350,21616
382,21644,344,21660
380,21688,344,21704
367,21732,358,21748
352,21776,382,21792
335,21820,409,21836
331,21864,428,21880
327,21908,427,21924
338,21952,412,21968
352,21996,387,22012
374,22040,359,22056
393,22084,328,22100
408,22128,303,22144
408,22172,286,22188
393,22216,284,22232
371,22260,294,22276
345,22304,310,22320
316,22348,323,22364
292,22392,339,22408
284,22436,348,22452
289,22480,352,22496
308,22524,343,22548
334,22572,335,22592
358,22616,329,22636
375,22660,327,22680
385,22704,334,22724
380,22748,340,22768
366,22792,348,22812
342,22836,352,22856
325,22880,353,22900
312,22924,348,22944
312,22968,335,22988
318,23012,316,23032
327,23056,295,23076
343,23100,271,23120
353,23144,255,23164
354,23188,246,23208
344,23232,248,23252
327,23276,252,23296
306,23320,263,23340
284,23364,270,23384
267,23408,284,23428
260,23452,300,23472
263,23496,324,23516
275,23540,343,23560
291,23584,361,23604
309,23628,374,23648
324,23672,387,23692
339,23716,392,23736
348,23760,396,23780
355,23804,391,23824
355,23848,388,23868
359,23892,382,23912
359,23936,376,23956
361,23980,369,24000
355,24024,368,24044
352,24068,369,24088
347,24112,376,24132
350,24156,387,24176
350,24200,396,24220
353,24244,395,24264
359,24288,387,24308
371,24332,371,24352
380,24376,348,24396
384,24420,327,24440
385,24464,308,24484
380,24508,295,24528
369,24552,287,24572
350,24604,291,24620
334,24648,297,24664
316,24692,310,24708
310,24736,319,24752
306,24780,329,24796
313,24824,333,24840
324,24868,338,24884
343,24912,340,24928
355,24956,342,24972
365,25000,344,25016
364,25044,348,25060
358,25088,353,25104
345,25132,356,25148
334,25176,361,25192
323,25220,361,25236
319,25264,358,25280
321,25308,344,25324
329,25352,332,25368
339,25396,313,25412
347,25440,299,25456
352,25484,281,25500
348,25528,268,25544
338,25572,256,25588
318,25620,255,25640
304,25664,260,25684
285,25708,266,25728
278,25752,268,25772
270,25796,277,25816
272,25840,298,25860
280,25884,322,25904
294,25928,348,25948
304,25972,366,25992
312,26016,380,26036
318,26060,384,26080
327,26104,385,26124
339,26148,380,26168
348,26192,376,26212
353,26236,368,26256
358,26280,359,26300
361,26324,350,26344
363,26368,351,26388
359,26412,358,26432
355,26456,376,26476
352,26500,396,26520
347,26544,408,26564
347,26588,401,26608
349,26632,391,26652
359,26676,376,26696
369,26720,356,26740
381,26764,331,26784
384,26808,312,26828
384,26852,292,26872
374,26896,286,26916
364,26940,290,26960
345,26984,299,27004
327,27028,306,27048
311,27072,317,27092
305,27116,327,27136
305,27160,332,27180
316,27204,335,27224
329,27248,337,27268
344,27292,337,27312
352,27336,335,27356
359,27380,339,27400
358,27424,340,27444
349,27468,342,27488
339,27512,339,27532
329,27556,337,27576
323,27600,327,27620
319,27644,315,27668
321,27696,299,27712
