left read, left timestamp, right read, right timestamp
408,8084,445,8104
424,8128,469,8148
440,8172,486,8200
443,8224,486,8240
434,8268,476,8284
424,8312,460,8328
412,8356,444,8372
398,8400,422,8416
380,8444,399,8460
361,8488,371,8504
335,8532,342,8548
312,8576,307,8592
287,8620,280,8636
272,8664,255,8680
259,8708,241,8724
255,8752,233,8768
254,8796,235,8812
259,8840,241,8856
267,8884,252,8900
281,8928,270,8944
295,8972,287,8988
317,9016,310,9032
334,9060,332,9076
352,9104,356,9120
368,9148,376,9164
384,9192,396,9208
397,9240,408,9260
399,9284,412,9304
402,9328,408,9348
394,9372,402,9392
387,9416,390,9436
374,9460,378,9480
365,9504,366,9524
353,9548,353,9568
343,9592,335,9612
327,9636,319,9656
318,9680,308,9700
308,9724,304,9744
309,9768,307,9788
312,9812,316,9832
323,9856,332,9876
334,9900,348,9920
348,9944,366,9964
358,9988,384,10008
371,10032,403,10052
386,10076,420,10096
399,10120,440,10140
411,10164,448,10184
414,10208,452,10228
412,10252,444,10272
404,10296,433,10316
395,10340,414,10360
379,10384,393,10404
364,10428,366,10448
342,10472,340,10492
323,10516,311,10536
304,10560,289,10580
287,10604,263,10624
272,10648,246,10668
263,10692,229,10712
255,10736,224,10756
255,10780,223,10800
256,10824,231,10844
268,10868,243,10888
278,10912,262,10932
295,10956,280,10976
308,11000,299,11020
327,11044,319,11064
340,11088,339,11108
358,11132,359,11152
371,11176,375,11196
382,11220,385,11240
386,11272,387,11288
385,11316,387,11332
382,11360,379,11376
371,11404,371,11420
363,11448,357,11464
349,11492,347,11508
339,11536,333,11552
326,11580,322,11596
316,11624,308,11640
304,11668,297,11684
295,11712,287,11728
287,11756,281,11772
286,11800,278,11816
284,11844,280,11860
287,11888,283,11904
291,11932,287,11948
299,11976,292,11992
304,12020,295,12036
313,12064,303,12080
321,12108,308,12124
329,12152,316,12168
335,12196,318,12212
339,12240,322,12256
340,12284,319,12308
337,12332,317,12352
337,12376,312,12396
334,12420,310,12440
332,12464,304,12484
323,12508,300,12528
318,12552,294,12572
310,12596,291,12616
307,12640,287,12660
302,12684,283,12704
300,12728,283,12748
300,12772,284,12792
301,12816,289,12836
304,12860,292,12880
308,12904,300,12924
316,12948,306,12968
323,12992,315,13012
333,13036,324,13056
342,13080,334,13100
348,13124,339,13144
354,13168,350,13188
359,13212,355,13232
361,13256,359,13276
364,13300,359,13320
362,13344,363,13364
361,13388,364,13408
361,13432,376,13452
371,13476,391,13496
380,13520,411,13540
384,13564,415,13584
380,13608,419,13628
380,13652,423,13672
380,13696,432,13716
391,13740,445,13760
399,13784,461,13804
411,13828,467,13848
408,13872,460,13892
400,13916,443,13936
387,13960,423,13980
381,14004,404,14024
372,14048,390,14068
368,14092,376,14112
355,14136,352,14156
339,14180,325,14200
319,14224,297,14244
304,14268,275,14288
291,14312,255,14332
281,14364,248,14380
280,14408,241,14424
273,14452,241,14468
273,14496,243,14512
273,14540,255,14556
284,14584,268,14600
292,14628,283,14644
307,14672,299,14688
319,14716,316,14732
332,14760,332,14776
344,14804,352,14820
358,14848,368,14864
369,14892,379,14908
379,14936,384,14952
380,14980,384,14996
379,15024,380,15040
374,15068,369,15084
368,15112,364,15128
364,15156,359,15172
361,15200,355,15216
355,15244,344,15260
344,15288,335,15304
332,15332,319,15348
316,15380,309,15400
312,15424,309,15444
311,15468,316,15488
313,15512,321,15532
313,15556,329,15576
319,15600,339,15620
324,15644,348,15664
337,15688,364,15708
352,15732,384,15752
369,15776,405,15796
382,15820,419,15840
395,15864,435,15884
407,15908,446,15928
415,15952,451,15972
415,15996,444,16016
412,16040,436,16060
407,16084,419,16104
394,16128,401,16148
380,16172,377,16192
363,16216,355,16236
344,16260,326,16280
321,16304,300,16324
300,16348,271,16368
278,16392,247,16412
262,16436,227,16456
249,16480,224,16500
248,16524,224,16544
248,16568,231,16588
258,16612,243,16632
266,16656,260,16676
281,16700,276,16720
297,16744,303,16764
323,16788,332,16808
345,16832,361,16852
369,16876,390,16896
387,16920,412,16940
403,16964,427,16984
412,17008,432,17028
417,17052,436,17072
416,17096,432,17116
412,17140,423,17160
403,17184,410,17204
391,17228,396,17248
376,17272,374,17292
356,17316,352,17336
339,17360,327,17380
322,17404,307,17428
307,17456,287,17472
294,17500,278,17516
289,17544,271,17560
284,17588,271,17604
287,17632,272,17648
288,17676,276,17692
295,17720,280,17736
300,17764,287,17780
312,17808,299,17824
319,17852,312,17868
331,17896,323,17912
337,17940,329,17956
343,17984,335,18000
344,18028,335,18044
344,18072,332,18088
343,18116,329,18132
339,18160,329,18176
335,18204,319,18220
327,18248,315,18264
319,18292,304,18308
313,18336,295,18352
307,18380,284,18396
298,18424,279,18440
294,18468,273,18484
289,18512,271,18528
291,18556,273,18572
295,18600,283,18616
303,18644,287,18660
307,18688,295,18704
316,18732,302,18748
321,18776,313,18792
332,18820,323,18836
340,18864,337,18880
352,18908,349,18924
358,18952,358,18968
366,18996,364,19012
369,19040,376,19056
380,19084,393,19100
396,19128,419,19144
414,19172,446,19188
423,19216,462,19232
428,19260,470,19276
425,19304,475,19320
428,19348,487,19364
435,19392,503,19408
444,19436,521,19452
448,19484,526,19504
436,19528,509,19548
415,19572,475,19592
387,19616,440,19636
369,19660,413,19680
355,19704,393,19724
348,19748,374,19768
330,19792,344,19812
307,19836,301,19856
276,19880,255,19900
255,19924,220,19944
243,19968,201,19988
246,20012,197,20032
249,20056,198,20076
252,20100,199,20120
255,20144,203,20164
259,20188,213,20208
271,20232,231,20252
291,20276,259,20296
315,20320,286,20340
334,20364,316,20384
348,20408,339,20428
358,20452,361,20472
369,20504,379,20520
376,20548,391,20564
386,20592,398,20608
387,20636,397,20652
384,20680,391,20696
374,20724,382,20740
368,20768,375,20784
361,20812,364,20828
358,20856,352,20872
350,20900,336,20916
339,20944,319,20960
326,20988,305,21004
315,21032,300,21048
310,21076,300,21092
312,21120,310,21136
319,21164,319,21180
323,21208,331,21224
327,21252,336,21268
327,21296,345,21312
334,21340,357,21356
344,21384,381,21400
364,21428,404,21444
377,21472,423,21488
386,21516,429,21532
385,21560,431,21576
385,21604,423,21620
381,21648,419,21664
384,21692,411,21708
380,21736,403,21752
376,21780,384,21796
358,21824,355,21840
339,21868,322,21884
316,21912,289,21928
300,21956,262,21972
284,22000,243,22016
275,22044,226,22060
259,22088,212,22104
252,22132,204,22148
244,22176,201,22192
245,22220,206,22236
252,22264,216,22280
265,22308,238,22324
281,22352,260,22368
299,22396,289,22412
317,22440,319,22456
336,22484,352,22500
358,22532,382,22552
380,22576,408,22596
398,22620,424,22640
405,22664,435,22684
409,22708,440,22728
408,22752,441,22772
408,22796,437,22816
400,22840,425,22860
391,22884,408,22904
376,22928,382,22948
356,22972,353,22992
335,23016,327,23036
319,23060,305,23080
307,23104,284,23124
297,23148,268,23168
289,23192,255,23212
281,23236,247,23256
277,23280,238,23300
275,23324,238,23344
278,23368,237,23388
284,23412,247,23432
295,23456,255,23476
302,23500,268,23520
310,23544,279,23564
313,23588,292,23608
321,23632,300,23652
327,23676,308,23696
332,23720,311,23740
332,23764,316,23784
333,23808,318,23828
327,23852,321,23872
327,23896,319,23916
321,23940,316,23960
319,23984,307,24004
315,24028,300,24048
312,24072,292,24092
304,24116,287,24136
303,24160,287,24180
303,24204,290,24224
308,24248,294,24268
312,24292,294,24312
316,24336,295,24356
319,24380,298,24400
323,24424,304,24444
327,24468,314,24488
335,24512,327,24532
345,24556,345,24580
361,24608,371,24624
380,24652,399,24668
399,24696,434,24712
415,24740,455,24756
422,24784,475,24800
433,24828,496,24844
445,24872,518,24888
463,24916,542,24932
475,24960,564,24976
482,25004,575,25020
476,25048,563,25064
457,25092,531,25108
431,25136,492,25152
408,25180,459,25196
387,25224,429,25240
370,25268,403,25284
345,25312,366,25328
313,25356,318,25372
277,25400,259,25416
244,25444,210,25460
224,25488,176,25504
216,25532,164,25548
216,25576,162,25592
216,25624,167,25644
220,25668,166,25688
222,25712,172,25732
239,25756,188,25776
259,25800,215,25820
289,25844,252,25864
315,25888,293,25908
339,25932,329,25952
359,25976,358,25996
376,26020,380,26040
391,26064,396,26084
401,26108,408,26128
406,26152,411,26172
403,26196,412,26216
394,26240,404,26260
380,26284,391,26304
368,26328,371,26348
354,26372,351,26392
342,26416,327,26436
327,26460,310,26480
312,26504,294,26524
300,26548,287,26568
294,26592,280,26612
291,26636,285,26656
297,26680,289,26700
300,26724,300,26744
310,26768,312,26788
316,26812,331,26832
331,26856,352,26876
344,26900,375,26920
361,26944,396,26964
376,26988,419,27008
391,27032,435,27052
398,27076,444,27096
403,27120,448,27140
401,27164,440,27184
397,27208,428,27228
388,27252,412,27272
380,27296,393,27316
366,27340,368,27360
349,27384,339,27404
327,27428,304,27448
304,27472,267,27492
280,27516,230,27536
260,27560,206,27580
244,27604,185,27624
234,27656,179,27672
230,27696,174,27716
225,27740,179,27760
231,27784,184,27804
238,27828,199,27848
255,27872,223,27892
272,27916,255,27936
300,27960,292,27980
322,28004,332,28024
348,28048,367,28068
368,28092,396,28112
388,28136,422,28156
404,28180,443,28200
417,28224,459,28244
425,28268,467,28288
427,28312,470,28332
422,28356,460,28376
412,28400,447,28420
399,28444,422,28464
380,28488,395,28508
359,28532,359,28552
337,28576,330,28596
319,28620,300,28640
304,28664,276,28684
290,28708,253,28728
280,28752,238,28772
273,28796,223,28816
268,28840,216,28860
268,28884,211,28904
270,28928,217,28948
280,28972,225,28992
287,29016,240,29036
300,29060,255,29080
310,29104,271,29124
321,29148,284,29168
327,29192,294,29212
334,29236,302,29256
334,29280,308,29300
337,29324,315,29344
335,29368,318,29388
332,29412,316,29432
323,29456,308,29476
317,29500,299,29520
307,29544,286,29564
299,29588,275,29608
292,29632,268,29652
287,29676,263,29704
287,29728,260,29744
286,29772,262,29788
289,29816,260,29832
292,29860,265,29876
301,29904,271,29920
308,29948,287,29964
326,29992,307,30008
342,30036,335,30052
363,30080,363,30096
381,30124,399,30140
409,30168,440,30184
433,30212,474,30228
451,30256,500,30272
462,30300,524,30316
476,30344,550,30360
487,30388,568,30404
496,30432,586,30448
499,30476,591,30492
492,30520,583,30536
472,30564,552,30580
444,30608,515,30624
415,30652,473,30668
388,30696,433,30712
359,30744,390,30764
329,30788,353,30808
304,30832,307,30852
270,30876,259,30896
242,30920,215,30940
220,30964,184,30984
215,31008,167,31028
219,31052,172,31072
231,31096,184,31116
239,31140,194,31160
253,31184,207,31204
268,31228,225,31248
291,31272,249,31292
318,31316,280,31336
347,31360,319,31380
371,31404,352,31424
390,31448,382,31468
403,31492,401,31512
412,31536,418,31556
419,31580,419,31600
419,31624,419,31644
414,31668,415,31688
403,31712,412,31732
390,31756,396,31776
371,31800,383,31820
355,31844,361,31864
338,31888,342,31908
324,31932,318,31952
308,31976,304,31996
300,32020,295,32040
291,32064,295,32084
291,32108,295,32128
294,32152,307,32172
305,32196,316,32216
313,32240,327,32260
326,32284,343,32304
335,32328,363,32348
353,32372,384,32392
371,32416,408,32436
391,32460,432,32480
404,32504,448,32524
416,32548,460,32568
422,32592,460,32612
419,32636,452,32656
409,32680,438,32700
400,32724,423,32744
391,32776,401,32792
374,32820,377,32836
353,32864,345,32880
324,32908,311,32924
297,32952,267,32968
268,32996,231,33012
248,33040,201,33056
231,33084,183,33100
223,33128,171,33144
214,33172,167,33188
211,33216,167,33232
214,33260,174,33276
226,33304,188,33320
240,33348,209,33364
263,33392,240,33408
291,33436,280,33452
319,33480,319,33496
344,33524,356,33540
367,33568,393,33584
390,33612,422,33628
409,33656,444,33672
423,33700,458,33716
430,33744,472,33760
430,33788,472,33812
421,33836,467,33856
412,33880,452,33900
396,33924,432,33944
380,33968,402,33988
357,34012,368,34032
335,34056,335,34076
312,34100,304,34120
295,34144,279,34164
280,34188,258,34208
273,34232,241,34252
268,34276,226,34296
268,34320,219,34340
268,34364,216,34384
272,34408,221,34428
282,34452,230,34472
295,34496,249,34516
312,34540,265,34560
324,34584,284,34604
335,34628,297,34648
342,34672,311,34692
347,34716,317,34736
349,34760,327,34780
352,34804,332,34824
348,34848,335,34868
343,34892,329,34912
331,34936,321,34956
321,34980,306,35000
307,35024,291,35044
297,35068,274,35088
287,35112,267,35132
284,35156,255,35176
275,35200,248,35220
275,35244,244,35264
273,35288,246,35308
283,35332,251,35352
293,35376,266,35396
312,35420,291,35440
335,35464,331,35484
369,35508,379,35528
399,35552,423,35572
424,35596,463,35616
447,35640,496,35660
467,35684,530,35704
487,35728,562,35748
504,35772,594,35792
519,35816,615,35836
519,35868,622,35884
505,35912,604,35928
476,35956,568,35972
447,36000,526,36016
414,36044,483,36060
384,36088,440,36104
352,36132,398,36148
319,36176,347,36192
278,36220,287,36236
239,36264,227,36280
203,36308,179,36324
187,36352,152,36368
184,36396,142,36412
192,36440,145,36456
199,36484,152,36500
214,36528,166,36544
231,36572,184,36588
257,36616,214,36632
291,36660,252,36676
330,36704,299,36720
368,36748,339,36764
396,36792,379,36808
419,36836,410,36852
438,36884,440,36904
452,36928,452,36948
455,36972,457,36992
454,37016,454,37036
441,37060,443,37080
426,37104,427,37124
402,37148,404,37168
380,37192,382,37212
356,37236,353,37256
332,37280,325,37300
307,37324,297,37344
284,37368,278,37388
267,37412,264,37432
259,37456,265,37476
260,37500,271,37520
269,37544,285,37564
280,37588,295,37608
291,37632,313,37652
308,37676,335,37696
330,37720,369,37740
359,37764,399,37784
384,37808,432,37828
409,37852,455,37872
425,37896,472,37916
436,37940,473,37960
438,37984,472,38004
435,38028,462,38048
428,38072,447,38092
417,38116,422,38136
395,38160,390,38180
369,38204,348,38224
337,38248,305,38268
307,38292,263,38312
275,38336,224,38356
252,38380,192,38400
227,38424,166,38444
211,38468,147,38488
196,38512,135,38532
192,38556,135,38576
195,38600,146,38620
209,38644,167,38664
227,38688,195,38708
250,38732,231,38752
276,38776,270,38796
304,38820,312,38840
333,38864,349,38884
359,38908,395,38932
391,38960,428,38976
409,39004,452,39020
423,39048,470,39064
429,39092,476,39108
432,39136,474,39152
