left read, left timestamp, right read, right timestamp
396,19784,435,19800
390,19828,441,19848
385,19872,440,19892
377,19916,435,19936
374,19960,431,19980
369,20004,425,20024
364,20048,418,20068
353,20092,412,20112
345,20136,411,20156
345,20180,408,20200
345,20224,407,20244
347,20268,399,20288
344,20312,395,20332
337,20356,390,20376
327,20400,387,20420
313,20444,376,20464
300,20488,364,20508
295,20532,354,20552
292,20576,353,20596
295,20620,352,20640
294,20664,352,20684
295,20708,344,20728
291,20752,333,20772
286,20796,313,20816
278,20840,302,20860
271,20884,287,20904
264,20928,284,20948
260,20972,283,20992
255,21016,284,21036
259,21060,282,21080
268,21104,283,21124
278,21148,279,21168
278,21192,269,21212
280,21236,259,21256
276,21280,252,21300
271,21324,244,21344
265,21368,238,21388
268,21412,236,21432
273,21456,240,21476
283,21500,251,21524
289,21548,255,21568
291,21592,260,21612
295,21636,253,21656
295,21680,248,21700
295,21724,241,21744
295,21768,241,21788
299,21812,242,21832
297,21856,252,21876
304,21900,258,21920
307,21944,265,21964
313,21988,268,22008
316,22032,271,22052
324,22076,273,22096
323,22120,275,22140
323,22164,276,22184
324,22208,277,22228
327,22252,281,22272
326,22296,287,22316
332,22340,295,22360
336,22384,304,22404
340,22428,316,22448
340,22472,319,22492
339,22516,319,22536
333,22560,316,22580
327,22604,315,22624
329,22648,316,22668
346,22692,326,22712
384,22736,329,22756
415,22780,339,22800
431,22824,339,22844
440,22868,344,22888
434,22912,337,22932
398,22956,335,22976
368,23000,332,23020
355,23044,345,23064
348,23088,376,23108
353,23132,412,23152
386,23176,435,23196
412,23220,449,23240
433,23264,445,23284
456,23308,421,23328
467,23352,391,23372
451,23396,377,23416
433,23440,371,23460
408,23484,383,23504
376,23528,411,23548
366,23580,441,23600
384,23624,466,23644
408,23668,483,23688
436,23712,487,23732
460,23756,475,23776
460,23800,460,23820
448,23844,440,23864
423,23888,414,23908
399,23932,399,23952
385,23976,411,23996
387,24020,432,24040
382,24064,463,24084
384,24108,488,24128
384,24152,496,24172
377,24196,482,24216
376,24240,455,24260
379,24284,425,24304
369,24328,407,24348
364,24372,398,24392
353,24416,398,24436
342,24460,404,24480
339,24504,408,24524
345,24548,409,24568
342,24596,406,24616
326,24640,401,24660
312,24684,391,24704
288,24728,382,24748
273,24772,365,24792
272,24816,355,24836
289,24860,346,24880
305,24904,348,24924
321,24948,350,24968
319,24992,344,25012
305,25036,323,25056
281,25080,301,25100
263,25124,281,25144
248,25168,270,25188
245,25212,274,25232
243,25256,288,25276
251,25300,302,25320
261,25344,303,25364
273,25388,300,25408
287,25432,284,25452
298,25476,263,25496
291,25520,242,25540
275,25564,227,25584
255,25608,213,25628
238,25652,213,25672
231,25696,218,25716
243,25740,231,25760
262,25784,250,25804
281,25828,270,25848
297,25872,271,25892
296,25916,266,25936
294,25960,243,25980
291,26004,223,26024
291,26048,210,26068
290,26092,211,26112
291,26136,217,26156
287,26180,240,26200
284,26224,255,26244
284,26268,265,26288
292,26312,272,26332
300,26356,276,26376
311,26400,275,26420
312,26444,271,26464
312,26488,265,26508
310,26532,255,26552
316,26576,251,26596
319,26620,254,26648
328,26672,265,26692
335,26716,278,26736
332,26760,295,26780
326,26804,301,26824
316,26848,302,26868
334,26892,300,26912
372,26936,305,26956
403,26980,308,27000
416,27024,319,27044
430,27068,319,27088
415,27112,319,27132
380,27156,315,27176
358,27200,308,27220
352,27244,319,27264
344,27288,355,27308
359,27332,387,27352
382,27376,409,27396
398,27420,419,27440
411,27464,408,27484
436,27508,385,27528
450,27552,370,27572
447,27596,369,27616
440,27640,371,27660
415,27684,385,27704
380,27728,401,27748
367,27772,415,27792
380,27816,428,27836
401,27860,448,27880
428,27904,462,27924
447,27948,468,27968
449,27992,465,28012
435,28036,452,28056
417,28080,423,28100
403,28124,409,28144
402,28168,409,28188
396,28212,428,28232
391,28256,449,28276
380,28300,466,28320
369,28344,467,28364
363,28388,462,28408
376,28432,446,28452
376,28476,440,28496
377,28520,435,28540
371,28564,429,28584
358,28608,420,28628
337,28652,411,28676
339,28700,399,28720
348,28744,396,28764
344,28788,402,28808
332,28832,403,28852
316,28876,404,28896
292,28920,390,28940
272,28964,375,28984
280,29008,361,29028
296,29052,356,29072
312,29096,355,29116
318,29140,358,29160
313,29184,344,29204
292,29228,323,29248
275,29272,297,29292
263,29316,281,29336
263,29360,275,29380
255,29404,281,29424
250,29448,292,29468
248,29492,295,29512
255,29536,289,29556
262,29580,279,29600
283,29624,265,29644
297,29668,255,29688
294,29720,259,29740
277,29764,255,29784
256,29808,247,29828
242,29852,234,29872
236,29896,230,29916
248,29940,227,29960
262,29984,239,30004
275,30028,248,30048
284,30072,253,30092
295,30116,248,30136
295,30160,239,30180
300,30204,227,30224
304,30248,227,30268
304,30292,231,30312
287,30336,241,30356
277,30380,243,30400
268,30424,243,30444
275,30468,244,30488
287,30512,247,30532
303,30556,251,30576
315,30600,262,30620
322,30644,275,30664
318,30688,274,30708
316,30732,265,30752
319,30776,254,30796
319,30820,255,30840
314,30864,258,30884
316,30908,271,30928
340,30952,283,30972
368,30996,292,31016
390,31040,294,31060
409,31084,301,31104
429,31128,304,31148
415,31172,307,31192
382,31216,307,31236
357,31260,313,31280
345,31304,327,31324
344,31348,361,31368
369,31392,387,31412
403,31436,414,31456
426,31480,431,31500
440,31524,428,31544
455,31568,403,31588
451,31612,382,31632
440,31656,367,31676
432,31700,371,31720
419,31748,408,31768
392,31792,447,31812
390,31836,478,31856
409,31880,495,31900
431,31924,504,31944
457,31968,492,31988
476,32012,482,32032
472,32056,473,32076
448,32100,459,32120
419,32144,438,32164
391,32188,436,32208
387,32232,448,32252
396,32276,472,32296
408,32320,498,32340
409,32364,517,32384
406,32408,515,32428
395,32452,492,32472
387,32496,454,32516
372,32540,415,32560
371,32584,398,32604
364,32628,399,32648
347,32672,417,32692
332,32716,435,32736
337,32760,438,32780
342,32804,429,32824
340,32848,415,32868
335,32892,396,32912
327,32936,382,32956
295,32980,364,33000
271,33024,348,33044
270,33068,333,33088
281,33112,330,33132
297,33156,333,33176
316,33200,340,33220
320,33244,337,33264
303,33288,326,33308
280,33332,299,33352
260,33376,274,33396
250,33420,252,33440
248,33464,252,33484
252,33508,263,33528
256,33552,281,33572
263,33596,289,33616
269,33640,291,33660
284,33684,271,33704
291,33728,248,33748
292,33772,225,33800
278,33824,214,33840
257,33868,216,33884
240,33912,227,33928
240,33956,242,33972
251,34000,254,34016
269,34044,269,34060
291,34088,272,34104
302,34132,268,34148
292,34176,252,34192
280,34220,231,34236
280,34264,211,34280
280,34308,207,34324
284,34352,216,34368
291,34396,236,34412
299,34440,260,34456
289,34484,284,34500
289,34528,287,34544
292,34572,279,34588
297,34616,258,34632
302,34660,244,34676
305,34704,231,34720
292,34748,234,34764
291,34792,243,34808
300,34840,260,34860
307,34884,279,34904
