1 read, 1 timestamp, 2 read, 2 timestamp, 3 read, 3 timestamp, 4 read, 4 timestamp
384,48,334,56,609,68,608,76
364,100,319,108,615,120,638,128
368,152,335,160,615,168,639,180
368,204,344,212,615,220,639,228
368,252,327,260,615,272,639,280
376,304,344,312,624,320,639,332
384,356,352,364,615,372,639,380
384,404,327,412,609,424,639,432
368,456,319,464,611,472,639,484
359,516,348,524,624,532,639,544
384,572,352,580,615,592,639,600
384,624,327,632,615,640,639,652
384,676,327,684,615,692,639,700
384,724,335,732,615,744,639,752
368,776,335,784,615,792,639,804
368,828,327,836,615,844,639,852
384,876,335,884,615,896,639,904
384,928,335,936,615,944,639,956
384,980,327,988,615,996,639,1012
384,1036,327,1044,609,1056,655,1064
359,1088,344,1096,624,1108,639,1116
384,1140,335,1148,615,1156,639,1168
